typeservice,namecdr,b_numerollamante,tarifa,b_numerollamado,fecha,hora,?,y,bytes,tecnología,importe
DAT,YA9LTOY05U,189035531,10 GB y llamadas ilimitadas,,18-01-2023,00:00:00,0,0,965738496,Datos 4G,44.2057
DAT,060GQQKNR5,326951032,10 GB y llamadas ilimitadas,,16-01-2023,00:00:00,0,0,817889280,Datos 4G,90.2791
DAT,FJNZOSY1FS,862834680,10 GB y llamadas ilimitadas,,09-01-2023,00:00:00,0,0,193986560,Datos 4G,16.7855
DAT,K2QZI28SPH,348522236,10 GB y llamadas ilimitadas,,17-01-2023,00:00:00,0,0,775946240,Datos 4G,71.0007
DAT,WGWDC1GUS5,566057143,10 GB y llamadas ilimitadas,,29-01-2023,00:00:00,0,0,471859200,Datos 4G,83.4401
DAT,M8RCV8C5LW,836298939,10 GB y llamadas ilimitadas,,20-01-2023,00:00:00,0,0,993001472,Datos 4G,67.493
DAT,IOHBQRR0IP,923592716,10 GB y llamadas ilimitadas,,04-01-2023,00:00:00,0,0,972029952,Datos 4G,82.1705
DAT,1Z1QOQWH1J,284382741,10 GB y llamadas ilimitadas,,14-01-2023,00:00:00,0,0,867172352,Datos 4G,71.7066
DAT,XANTU1PEUM,772787062,10 GB y llamadas ilimitadas,,14-01-2023,00:00:00,0,0,804257792,Datos 4G,94.1064
DAT,9ST7J975LS,783356661,10 GB y llamadas ilimitadas,,29-01-2023,00:00:00,0,0,520093696,Datos 4G,59.4127
DAT,OJ6CMVVN4B,580794244,10 GB y llamadas ilimitadas,,05-01-2023,00:00:00,0,0,413138944,Datos 4G,25.5627
DAT,5L56CTZTRI,514690350,10 GB y llamadas ilimitadas,,08-01-2023,00:00:00,0,0,694157312,Datos 4G,42.6021
DAT,M3ZDVZ3IER,567803643,10 GB y llamadas ilimitadas,,19-01-2023,00:00:00,0,0,245366784,Datos 4G,0.9859
DAT,NP287EFBK2,293994248,10 GB y llamadas ilimitadas,,12-01-2023,00:00:00,0,0,552599552,Datos 4G,87.0899
DAT,2XIOUOTKZU,529403695,10 GB y llamadas ilimitadas,,25-01-2023,00:00:00,0,0,1004535808,Datos 4G,36.9205
DAT,AC2B67GCJ4,512507868,10 GB y llamadas ilimitadas,,14-01-2023,00:00:00,0,0,9437184,Datos 4G,55.4277
DAT,DWXMAOKE2P,988869894,10 GB y llamadas ilimitadas,,16-01-2023,00:00:00,0,0,671088640,Datos 4G,40.2527
DAT,10A74BT2TK,692292597,10 GB y llamadas ilimitadas,,03-01-2023,00:00:00,0,0,457179136,Datos 4G,93.0085
DAT,FPKM1DR934,343495089,10 GB y llamadas ilimitadas,,01-01-2023,00:00:00,0,0,219152384,Datos 4G,20.1061
DAT,7R6UOSGHZL,830869071,10 GB y llamadas ilimitadas,,19-01-2023,00:00:00,0,0,540016640,Datos 4G,75.2545
DAT,SMJ73YTVIW,597375490,10 GB y llamadas ilimitadas,,23-01-2023,00:00:00,0,0,436207616,Datos 4G,59.4
DAT,XQ9J52P3YT,741913816,10 GB y llamadas ilimitadas,,27-01-2023,00:00:00,0,0,759169024,Datos 4G,9.1364
DAT,ZH7FGMWIPN,797227417,10 GB y llamadas ilimitadas,,13-01-2023,00:00:00,0,0,61865984,Datos 4G,32.3224
DAT,OIDT0R054F,106547174,10 GB y llamadas ilimitadas,,30-01-2023,00:00:00,0,0,256901120,Datos 4G,24.2705
DAT,0R1M4BODFX,168319478,10 GB y llamadas ilimitadas,,24-01-2023,00:00:00,0,0,99614720,Datos 4G,5.293
DAT,YXY0GXMCDZ,316857134,10 GB y llamadas ilimitadas,,28-01-2023,00:00:00,0,0,859832320,Datos 4G,30.5053
DAT,3Y2CIPI9LE,503746187,10 GB y llamadas ilimitadas,,19-01-2023,00:00:00,0,0,1017118720,Datos 4G,42.1861
DAT,7123EQSSZG,764955919,10 GB y llamadas ilimitadas,,08-01-2023,00:00:00,0,0,251658240,Datos 4G,62.416
DAT,345R7CMGLL,225024426,10 GB y llamadas ilimitadas,,19-01-2023,00:00:00,0,0,101711872,Datos 4G,72.5994
DAT,26DECHD8ZD,895372202,10 GB y llamadas ilimitadas,,17-01-2023,00:00:00,0,0,786432000,Datos 4G,79.8154
DAT,7I95MHGXDS,773566065,10 GB y llamadas ilimitadas,,04-01-2023,00:00:00,0,0,251658240,Datos 4G,31.8444
DAT,A9R5J1E0WA,998251790,10 GB y llamadas ilimitadas,,11-01-2023,00:00:00,0,0,290455552,Datos 4G,80.955
DAT,Z6YVLZGV2Z,561662588,10 GB y llamadas ilimitadas,,08-01-2023,00:00:00,0,0,729808896,Datos 4G,24.0054
DAT,H4HN23RNHT,326272391,10 GB y llamadas ilimitadas,,13-01-2023,00:00:00,0,0,600834048,Datos 4G,91.0855
DAT,UE9VGVYPEX,691536058,10 GB y llamadas ilimitadas,,31-01-2023,00:00:00,0,0,975175680,Datos 4G,40.0969
DAT,RWY3Z792RH,531501578,10 GB y llamadas ilimitadas,,07-01-2023,00:00:00,0,0,258998272,Datos 4G,62.9283
DAT,9PQMIM4K3T,499267643,10 GB y llamadas ilimitadas,,09-01-2023,00:00:00,0,0,262144000,Datos 4G,65.2912
DAT,IDB30EWFDS,531499981,10 GB y llamadas ilimitadas,,14-01-2023,00:00:00,0,0,256901120,Datos 4G,35.9428
DAT,A41FPJETRB,660684141,10 GB y llamadas ilimitadas,,14-01-2023,00:00:00,0,0,136314880,Datos 4G,51.4997
DAT,OL9DW1H4VB,900963390,10 GB y llamadas ilimitadas,,12-01-2023,00:00:00,0,0,710934528,Datos 4G,95.851
DAT,NDAJYIKOQD,212832374,10 GB y llamadas ilimitadas,,29-01-2023,00:00:00,0,0,629145600,Datos 4G,51.3251
DAT,XU31EGEE5T,261980099,10 GB y llamadas ilimitadas,,31-01-2023,00:00:00,0,0,368050176,Datos 4G,94.1508
DAT,PVQPDADUFO,909820209,10 GB y llamadas ilimitadas,,29-01-2023,00:00:00,0,0,221249536,Datos 4G,88.2819
DAT,Q5QOBCTFFE,899867866,10 GB y llamadas ilimitadas,,25-01-2023,00:00:00,0,0,888143872,Datos 4G,76.7037
DAT,GF26TNPNKF,956739507,10 GB y llamadas ilimitadas,,27-01-2023,00:00:00,0,0,735051776,Datos 4G,89.0769
DAT,4GN37SU3FC,197783478,10 GB y llamadas ilimitadas,,08-01-2023,00:00:00,0,0,50331648,Datos 4G,14.4921
DAT,PLEE92OGZS,731131450,10 GB y llamadas ilimitadas,,04-01-2023,00:00:00,0,0,118489088,Datos 4G,34.1517
DAT,W605EBNBVY,345859891,10 GB y llamadas ilimitadas,,09-01-2023,00:00:00,0,0,4194304,Datos 4G,23.6864
DAT,S8UENLHAC1,150485604,10 GB y llamadas ilimitadas,,23-01-2023,00:00:00,0,0,461373440,Datos 4G,70.8912
