typeservice,namecdr,b_numerollamante,tarifa,b_numerollamado,fecha,hora,?,y,bytes,tecnología,importe
DAT,26WKF84JM7,928964882,10 GB y llamadas ilimitadas,,02-10-2023,00:00:00,0,0,497025024,Datos 4G,7.1758
DAT,N1A0RGU0ZG,282349969,10 GB y llamadas ilimitadas,,23-10-2023,00:00:00,0,0,659554304,Datos 4G,76.3985
DAT,TZYXUW1AGO,230363473,10 GB y llamadas ilimitadas,,17-10-2023,00:00:00,0,0,612368384,Datos 4G,5.7675
DAT,Q5K6Y8TWYD,672434277,10 GB y llamadas ilimitadas,,09-10-2023,00:00:00,0,0,981467136,Datos 4G,68.5641
DAT,GJ04ICKIW3,977703463,10 GB y llamadas ilimitadas,,21-10-2023,00:00:00,0,0,823132160,Datos 4G,13.883
DAT,27QZQ33VJX,400021448,10 GB y llamadas ilimitadas,,06-10-2023,00:00:00,0,0,333447168,Datos 4G,69.86
DAT,PQHOIB99YE,983946729,10 GB y llamadas ilimitadas,,22-10-2023,00:00:00,0,0,940572672,Datos 4G,72.487
DAT,XV82VOW9ND,738326212,10 GB y llamadas ilimitadas,,19-10-2023,00:00:00,0,0,313524224,Datos 4G,35.3679
DAT,QE314YIWDI,867087889,10 GB y llamadas ilimitadas,,03-10-2023,00:00:00,0,0,59768832,Datos 4G,90.1018
DAT,PWZJP1FYBO,696596684,10 GB y llamadas ilimitadas,,04-10-2023,00:00:00,0,0,1039138816,Datos 4G,64.5498
DAT,XSDLPV73O8,169525728,10 GB y llamadas ilimitadas,,21-10-2023,00:00:00,0,0,250609664,Datos 4G,54.6286
DAT,5W8TNDVTQY,652905919,10 GB y llamadas ilimitadas,,10-10-2023,00:00:00,0,0,627048448,Datos 4G,24.9163
DAT,5I81EUPWEU,777372004,10 GB y llamadas ilimitadas,,14-10-2023,00:00:00,0,0,38797312,Datos 4G,58.5817
DAT,2GMSKAY3UW,763885383,10 GB y llamadas ilimitadas,,02-10-2023,00:00:00,0,0,643825664,Datos 4G,67.2882
DAT,WUW1I2JKFF,920128111,10 GB y llamadas ilimitadas,,23-10-2023,00:00:00,0,0,506462208,Datos 4G,13.0008
DAT,VKBB86ZXIM,418126473,10 GB y llamadas ilimitadas,,14-10-2023,00:00:00,0,0,248512512,Datos 4G,16.0973
DAT,DH1XSWO50F,432518862,10 GB y llamadas ilimitadas,,23-10-2023,00:00:00,0,0,104857600,Datos 4G,6.5457
DAT,KTOG3JDBVJ,881761801,10 GB y llamadas ilimitadas,,23-10-2023,00:00:00,0,0,219152384,Datos 4G,52.5935
DAT,2BW7OPFGJX,948857098,10 GB y llamadas ilimitadas,,06-10-2023,00:00:00,0,0,982515712,Datos 4G,67.1014
DAT,67E4NPEGAB,933375103,10 GB y llamadas ilimitadas,,29-10-2023,00:00:00,0,0,333447168,Datos 4G,98.2187
DAT,PG6KPW0X9R,568715364,10 GB y llamadas ilimitadas,,06-10-2023,00:00:00,0,0,411041792,Datos 4G,58.931
DAT,MDMZPBBRJK,881569681,10 GB y llamadas ilimitadas,,10-10-2023,00:00:00,0,0,891289600,Datos 4G,58.5137
DAT,HPT6AR4K95,542221999,10 GB y llamadas ilimitadas,,02-10-2023,00:00:00,0,0,70254592,Datos 4G,12.1227
DAT,RF2QNTK7X8,158421280,10 GB y llamadas ilimitadas,,04-10-2023,00:00:00,0,0,739246080,Datos 4G,16.8814
DAT,JJHZ8JG8IA,882213439,10 GB y llamadas ilimitadas,,07-10-2023,00:00:00,0,0,723517440,Datos 4G,2.0917
DAT,9A8RDBKJHA,531409103,10 GB y llamadas ilimitadas,,20-10-2023,00:00:00,0,0,447741952,Datos 4G,97.6426
DAT,49TQX6YZ5G,872976787,10 GB y llamadas ilimitadas,,16-10-2023,00:00:00,0,0,581959680,Datos 4G,92.1459
DAT,TTH53NRLMS,979405523,10 GB y llamadas ilimitadas,,18-10-2023,00:00:00,0,0,897581056,Datos 4G,38.1544
DAT,XZUHM19MKN,990242707,10 GB y llamadas ilimitadas,,16-10-2023,00:00:00,0,0,514850816,Datos 4G,55.6731
DAT,OXBMUSLOVA,957986681,10 GB y llamadas ilimitadas,,18-10-2023,00:00:00,0,0,796917760,Datos 4G,36.1325
DAT,B5A4H7L2CP,969100408,10 GB y llamadas ilimitadas,,03-10-2023,00:00:00,0,0,811597824,Datos 4G,30.1619
DAT,PGDSTVQZ70,922072067,10 GB y llamadas ilimitadas,,11-10-2023,00:00:00,0,0,583008256,Datos 4G,85.1818
DAT,7GL84EKERQ,460767654,10 GB y llamadas ilimitadas,,25-10-2023,00:00:00,0,0,506462208,Datos 4G,28.2707
DAT,VQYJT68VFC,327537162,10 GB y llamadas ilimitadas,,24-10-2023,00:00:00,0,0,1044381696,Datos 4G,51.0496
DAT,TPREK82TQV,886264288,10 GB y llamadas ilimitadas,,21-10-2023,00:00:00,0,0,192937984,Datos 4G,18.0379
DAT,TN8OAOG83X,296803708,10 GB y llamadas ilimitadas,,12-10-2023,00:00:00,0,0,914358272,Datos 4G,10.587
DAT,5HZY31SC1G,203967172,10 GB y llamadas ilimitadas,,04-10-2023,00:00:00,0,0,95420416,Datos 4G,80.2844
DAT,8N0WF4DS0C,556650268,10 GB y llamadas ilimitadas,,18-10-2023,00:00:00,0,0,913309696,Datos 4G,28.5992
DAT,ORDMITY853,985515186,10 GB y llamadas ilimitadas,,08-10-2023,00:00:00,0,0,500170752,Datos 4G,51.8673
DAT,AOLFN3ANTR,873250303,10 GB y llamadas ilimitadas,,05-10-2023,00:00:00,0,0,331350016,Datos 4G,53.8673
DAT,H8A4IY0VK1,387356257,10 GB y llamadas ilimitadas,,22-10-2023,00:00:00,0,0,564133888,Datos 4G,82.4049
DAT,15258X38KK,379743758,10 GB y llamadas ilimitadas,,27-10-2023,00:00:00,0,0,969932800,Datos 4G,9.2896
DAT,C9JPSGO7AV,901930674,10 GB y llamadas ilimitadas,,30-10-2023,00:00:00,0,0,275775488,Datos 4G,70.2082
